Player,PLayerID,"concat('https://baseballsavant.mlb.com/player?player_id=',PlayerID,'&pos=',Po,'&player_type=batter&season=2017&tab=zone_chart_tab#')"
"Cabrera, M",408234,https://baseballsavant.mlb.com/player?player_id=408234&pos=1B&player_type=batter&season=2017&tab=zone_chart_tab#
"Cozart, Z",446359,https://baseballsavant.mlb.com/player?player_id=446359&pos=SS&player_type=batter&season=2017&tab=zone_chart_tab#
"Dietrich, D",518618,https://baseballsavant.mlb.com/player?player_id=518618&pos=OF&player_type=batter&season=2017&tab=zone_chart_tab#
"Duffy, M",622110,https://baseballsavant.mlb.com/player?player_id=622110&pos=3B&player_type=batter&season=2017&tab=zone_chart_tab#
"Hernandez, C",514917,https://baseballsavant.mlb.com/player?player_id=514917&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Judge, A",592450,https://baseballsavant.mlb.com/player?player_id=592450&pos=RF&player_type=batter&season=2017&tab=zone_chart_tab#
"Mazara, N",608577,https://baseballsavant.mlb.com/player?player_id=608577&pos=RF&player_type=batter&season=2017&tab=zone_chart_tab#
"Olson, M",621566,https://baseballsavant.mlb.com/player?player_id=621566&pos=1B&player_type=batter&season=2017&tab=zone_chart_tab#
"Semien, M",543760,https://baseballsavant.mlb.com/player?player_id=543760&pos=SS&player_type=batter&season=2017&tab=zone_chart_tab#
"Cespedes, Y",493316,https://baseballsavant.mlb.com/player?player_id=493316&pos=LF&player_type=batter&season=2017&tab=zone_chart_tab#
"Granderson, C",434158,https://baseballsavant.mlb.com/player?player_id=434158&pos=LF&player_type=batter&season=2017&tab=zone_chart_tab#
"Harrison, J",543281,https://baseballsavant.mlb.com/player?player_id=543281&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Lamb, J",571875,https://baseballsavant.mlb.com/player?player_id=571875&pos=3B&player_type=batter&season=2017&tab=zone_chart_tab#
"Lucroy, J",518960,https://baseballsavant.mlb.com/player?player_id=518960&pos=C&player_type=batter&season=2017&tab=zone_chart_tab#
"Russell, A",608365,https://baseballsavant.mlb.com/player?player_id=608365&pos=SS&player_type=batter&season=2017&tab=zone_chart_tab#
"Vazquez, C",543877,https://baseballsavant.mlb.com/player?player_id=543877&pos=C&player_type=batter&season=2017&tab=zone_chart_tab#
"Hechavarria, A",588751,https://baseballsavant.mlb.com/player?player_id=588751&pos=SS&player_type=batter&season=2017&tab=zone_chart_tab#
"Sanchez, Y",570560,https://baseballsavant.mlb.com/player?player_id=570560&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Encarnacion, E",429665,https://baseballsavant.mlb.com/player?player_id=429665&pos=DH&player_type=batter&season=2017&tab=zone_chart_tab#
"Jay, J",445055,https://baseballsavant.mlb.com/player?player_id=445055&pos=OF&player_type=batter&season=2017&tab=zone_chart_tab#
"Arenado, N",571448,https://baseballsavant.mlb.com/player?player_id=571448&pos=3B&player_type=batter&season=2017&tab=zone_chart_tab#
"Villar, J",542340,https://baseballsavant.mlb.com/player?player_id=542340&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Gattis, E",594828,https://baseballsavant.mlb.com/player?player_id=594828&pos=C&player_type=batter&season=2017&tab=zone_chart_tab#
"Machado, M",592518,https://baseballsavant.mlb.com/player?player_id=592518&pos=3B&player_type=batter&season=2017&tab=zone_chart_tab#
"Turner, T",607208,https://baseballsavant.mlb.com/player?player_id=607208&pos=SS&player_type=batter&season=2017&tab=zone_chart_tab#
"Upton, J",457708,https://baseballsavant.mlb.com/player?player_id=457708&pos=LF&player_type=batter&season=2017&tab=zone_chart_tab#
"Trout, M",545361,https://baseballsavant.mlb.com/player?player_id=545361&pos=CF&player_type=batter&season=2017&tab=zone_chart_tab#
"Chisenhall, L",502082,https://baseballsavant.mlb.com/player?player_id=502082&pos=RF&player_type=batter&season=2017&tab=zone_chart_tab#
"Davidson, M",571602,https://baseballsavant.mlb.com/player?player_id=571602&pos=DH&player_type=batter&season=2017&tab=zone_chart_tab#
"Drury, B",592273,https://baseballsavant.mlb.com/player?player_id=592273&pos=3B&player_type=batter&season=2017&tab=zone_chart_tab#
"Gallo, J",608336,https://baseballsavant.mlb.com/player?player_id=608336&pos=3B&player_type=batter&season=2017&tab=zone_chart_tab#
"Jones, A",430945,https://baseballsavant.mlb.com/player?player_id=430945&pos=CF&player_type=batter&season=2017&tab=zone_chart_tab#
"LeMahieu, D",518934,https://baseballsavant.mlb.com/player?player_id=518934&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Machado, D",553988,https://baseballsavant.mlb.com/player?player_id=553988&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Marte, S",516782,https://baseballsavant.mlb.com/player?player_id=516782&pos=LF&player_type=batter&season=2017&tab=zone_chart_tab#
"McCann, J",543510,https://baseballsavant.mlb.com/player?player_id=543510&pos=C&player_type=batter&season=2017&tab=zone_chart_tab#
"Molina, Y",425877,https://baseballsavant.mlb.com/player?player_id=425877&pos=C&player_type=batter&season=2017&tab=zone_chart_tab#
"Moustakas, M",519058,https://baseballsavant.mlb.com/player?player_id=519058&pos=3B&player_type=batter&season=2017&tab=zone_chart_tab#
"Rojas, M",500743,https://baseballsavant.mlb.com/player?player_id=500743&pos=SS&player_type=batter&season=2017&tab=zone_chart_tab#
"Solarte, Y",500208,https://baseballsavant.mlb.com/player?player_id=500208&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Bellinger, C",641355,https://baseballsavant.mlb.com/player?player_id=641355&pos=1B&player_type=batter&season=2017&tab=zone_chart_tab#
"Davis, K",501981,https://baseballsavant.mlb.com/player?player_id=501981&pos=LF&player_type=batter&season=2017&tab=zone_chart_tab#
"Donaldson, J",518626,https://baseballsavant.mlb.com/player?player_id=518626&pos=3B&player_type=batter&season=2017&tab=zone_chart_tab#
"Gonzalez, C",471865,https://baseballsavant.mlb.com/player?player_id=471865&pos=RF&player_type=batter&season=2017&tab=zone_chart_tab#
"Frazier, T",453943,https://baseballsavant.mlb.com/player?player_id=453943&pos=3B&player_type=batter&season=2017&tab=zone_chart_tab#
"Heyward, J",518792,https://baseballsavant.mlb.com/player?player_id=518792&pos=RF&player_type=batter&season=2017&tab=zone_chart_tab#
"Pina, M",444489,https://baseballsavant.mlb.com/player?player_id=444489&pos=C&player_type=batter&season=2017&tab=zone_chart_tab#
"Walker, N",435522,https://baseballsavant.mlb.com/player?player_id=435522&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Engel, A",641553,https://baseballsavant.mlb.com/player?player_id=641553&pos=CF&player_type=batter&season=2017&tab=zone_chart_tab#
"Escobar, A",444876,https://baseballsavant.mlb.com/player?player_id=444876&pos=SS&player_type=batter&season=2017&tab=zone_chart_tab#
"Inciarte, E",542255,https://baseballsavant.mlb.com/player?player_id=542255&pos=CF&player_type=batter&season=2017&tab=zone_chart_tab#
"Beltre, A",134181,https://baseballsavant.mlb.com/player?player_id=134181&pos=3B&player_type=batter&season=2017&tab=zone_chart_tab#
"Nunez, E",456488,https://baseballsavant.mlb.com/player?player_id=456488&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Ozuna, M",542303,https://baseballsavant.mlb.com/player?player_id=542303&pos=LF&player_type=batter&season=2017&tab=zone_chart_tab#
"Brinson, L",621446,https://baseballsavant.mlb.com/player?player_id=621446&pos=CF&player_type=batter&season=2017&tab=zone_chart_tab#
"Alonso, Y",475174,https://baseballsavant.mlb.com/player?player_id=475174&pos=1B&player_type=batter&season=2017&tab=zone_chart_tab#
"Asuaje, C",641319,https://baseballsavant.mlb.com/player?player_id=641319&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Carpenter, M",572761,https://baseballsavant.mlb.com/player?player_id=572761&pos=1B&player_type=batter&season=2017&tab=zone_chart_tab#
"Joyce, M",459964,https://baseballsavant.mlb.com/player?player_id=459964&pos=RF&player_type=batter&season=2017&tab=zone_chart_tab#
"Pence, H",452254,https://baseballsavant.mlb.com/player?player_id=452254&pos=RF&player_type=batter&season=2017&tab=zone_chart_tab#
"Pujols, A",405395,https://baseballsavant.mlb.com/player?player_id=405395&pos=DH&player_type=batter&season=2017&tab=zone_chart_tab#
"Taylor, C",621035,https://baseballsavant.mlb.com/player?player_id=621035&pos=LF&player_type=batter&season=2017&tab=zone_chart_tab#
"Winker, J",608385,https://baseballsavant.mlb.com/player?player_id=608385&pos=RF&player_type=batter&season=2017&tab=zone_chart_tab#
"Stanton, G",519317,https://baseballsavant.mlb.com/player?player_id=519317&pos=RF&player_type=batter&season=2017&tab=zone_chart_tab#
"Rendon, A",543685,https://baseballsavant.mlb.com/player?player_id=543685&pos=3B&player_type=batter&season=2017&tab=zone_chart_tab#
"Seager, K",572122,https://baseballsavant.mlb.com/player?player_id=572122&pos=3B&player_type=batter&season=2017&tab=zone_chart_tab#
"Springer, G",543807,https://baseballsavant.mlb.com/player?player_id=543807&pos=CF&player_type=batter&season=2017&tab=zone_chart_tab#
"Suarez, E",553993,https://baseballsavant.mlb.com/player?player_id=553993&pos=3B&player_type=batter&season=2017&tab=zone_chart_tab#
"Parra, G",467827,https://baseballsavant.mlb.com/player?player_id=467827&pos=LF&player_type=batter&season=2017&tab=zone_chart_tab#
"Gonzalez, M",503556,https://baseballsavant.mlb.com/player?player_id=503556&pos=LF&player_type=batter&season=2017&tab=zone_chart_tab#
"Marte, K",606466,https://baseballsavant.mlb.com/player?player_id=606466&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Bregman, A",608324,https://baseballsavant.mlb.com/player?player_id=608324&pos=3B&player_type=batter&season=2017&tab=zone_chart_tab#
"Bruce, J",457803,https://baseballsavant.mlb.com/player?player_id=457803&pos=RF&player_type=batter&season=2017&tab=zone_chart_tab#
"Buxton, B",621439,https://baseballsavant.mlb.com/player?player_id=621439&pos=CF&player_type=batter&season=2017&tab=zone_chart_tab#
"Calhoun, K",594777,https://baseballsavant.mlb.com/player?player_id=594777&pos=RF&player_type=batter&season=2017&tab=zone_chart_tab#
"Cervelli, F",465041,https://baseballsavant.mlb.com/player?player_id=465041&pos=C&player_type=batter&season=2017&tab=zone_chart_tab#
"Gardner, B",458731,https://baseballsavant.mlb.com/player?player_id=458731&pos=LF&player_type=batter&season=2017&tab=zone_chart_tab#
"Lowrie, J",476704,https://baseballsavant.mlb.com/player?player_id=476704&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Martinez, J",502110,https://baseballsavant.mlb.com/player?player_id=502110&pos=RF&player_type=batter&season=2017&tab=zone_chart_tab#
"Valbuena, L",472528,https://baseballsavant.mlb.com/player?player_id=472528&pos=1B&player_type=batter&season=2017&tab=zone_chart_tab#
"Votto, J",458015,https://baseballsavant.mlb.com/player?player_id=458015&pos=1B&player_type=batter&season=2017&tab=zone_chart_tab#
"Seager, C",608369,https://baseballsavant.mlb.com/player?player_id=608369&pos=SS&player_type=batter&season=2017&tab=zone_chart_tab#
