,RFPred,RFPer,RF_M,RF_P,Actual,Salary,Name,HTeam,Opp,Pts,Pos,Xgb,XgbPer,xgb_M,xgb_P,DNN,DNNPer
21393,10.73044444,0.346143369,-8,11,15,3100,Nomar Mazara (L),TEX,MIA,2.6,OF,0,0,0,0,0,0
21387,10.68344444,0.232248792,-8,7,5,4600,Elvis Andrus (R),TEX,MIA,2,SS,0,0,0,0,0,0
21388,10.51166667,0.276622807,-6,10,9,3800,Rougned Odor (L),TEX,MIA,2.1,2B,0,0,0,0,0,0
21390,8.034055556,0.251064236,-3,6,12,3200,Jonathan Lucroy (R),TEX,MIA,2.2,C,0,0,0,0,0,0
21394,6.440944444,0.146385101,-10,15,30,4400,Adrian Beltre (R),TEX,MIA,1.8,3B,0,0,0,0,0,0
21391,6.3895,0.24575,-4,5,0,2600,Drew Robinson (L),TEX,MIA,0,2B/OF,0,0,0,0,0,0
21435,14.79205556,0.448244108,-6,25,16,3300,Kendrys Morales (S),TOR,OAK,2.3,1B,0,0,0,0,0,0
21270,4.416,0.200727273,-4,5,5,2200,Sean Rodriguez (R),ATL,ARI,2.7,1B/2B,0,0,0,0,0,0
21432,10.48805556,0.197887841,-6,14,18,5300,Justin Smoak (S),TOR,OAK,1.5,1B,0,0,0,0,0,0
21431,8.901111111,0.287132616,-10,8,0,3100,Steve Pearce (R),TOR,OAK,2.3,OF,0,0,0,0,0,0
21427,8.572,0.276516129,-12,3,3,3100,Miguel Montero (L),TOR,OAK,2,C,0,0,0,0,0,0
21433,8.542333333,0.194143939,-12,21,9,4400,Josh Donaldson (R),TOR,OAK,1.8,3B,0,0,0,0,0,0
21428,5.668666667,0.145350427,-7,9,7,3900,Jose Bautista (R),TOR,OAK,2.2,OF,0,0,0,0,0,0
21429,5.326944444,0.204882479,-5,7,0,2600,Ryan Goins (L),TOR,OAK,2.2,2B/SS,0,0,0,0,0,0
21430,4.962777778,0.171130268,-3,23,0,2900,Troy Tulowitzki (R),TOR,OAK,2.3,SS,0,0,0,0,0,0
21434,4.261555556,0.146950192,-8,12,0,2900,Kevin Pillar (R),TOR,OAK,2.3,OF,0,0,0,0,0,0
21398,12.28416667,0.323267544,-9,4,11,3800,Ryan Zimmerman (R),WSH,MIL,1.7,1B,0,0,0,0,0,0
21400,10.14427778,0.281785494,-8,3,7,3600,Wilmer Difo (S),WSH,MIL,1.7,2B/SS,0,0,0,0,0,0
21399,8.1915,0.210038462,-9,2,7,3900,Brian Goodwin (L),WSH,MIL,1.8,OF,0,0,0,0,0,0
21464,3.009166667,0.094036458,-8,13,3,3200,Francisco Cervelli (R),PIT,SF,1.5,C,0,0,0,0,0,0
21397,7.337333333,0.135876543,-7,14,3,5400,Bryce Harper (L),WSH,MIL,1.3,OF,0,0,0,0,0,0
21401,6.280555556,0.136533816,-7,33,18,4600,Daniel Murphy (L),WSH,MIL,1.3,2B,0,0,0,0,0,0
21402,5.515888889,0.122575309,-7,14,7,4500,Anthony Rendon (R),WSH,MIL,1.4,3B,0,0,0,0,0,0
21395,4.291888889,0.110048433,-10,15,14,3900,Adam Lind (L),WSH,MIL,1.3,1B,0,0,0,0,0,0
21396,3.753277778,0.134045635,-7,6,5,2800,Matt Wieters (S),WSH,MIL,1.9,C,0,0,0,0,0,0
