"","RFPred","RFPer","RF_M","RF_P","Actual","Salary","Name","HTeam","Opp","Pts","Pos","C1B","C2B","C3B","C4B","C5B","C6B","C7B","C8B","C9B","C1P","C2P","C3P","C4P","C5P","C6P","C7P","C8P","C9P","Xgb","XgbPer","xgb_M","xgb_P","DNN","DNNPer"
"33079",7.025,0,-7,26,0,3600,"Albert Pujols","LAA","HOU",1.6,"1B",0,2.7347,3.4,0,4.3,0,0.95,1.6867,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33080",12.1687777777778,0,-17,11,0,3900,"Zack Cozart","LAA","HOU",1.4,"2B/3B",0.6375,2.58,0,0,2.2594,4.8958,1.2,0.8375,2.2594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33081",9.21994444444445,0,-11,2,0,3400,"Andrelton Simmons","LAA","HOU",1.7,"SS",1.1655,0,0.875,3.84,4.368,1.56,0.96,0,1.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33082",2.82116666666667,0,-8,5,0,2500,"Martin Maldonado","LAA","HOU",1.6,"C",0,3.2,0,0,0,3.9,0,1.775,1.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33083",9.09727777777778,0,-7,12,0,4400,"Justin Upton","LAA","HOU",1.6,"OF",3.0682,0.72,0,1.0989,2.48,3.0024,0.7181,3.3375,0.9282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33084",4.83172222222222,0,-10,12,0,2600,"Chris Young","LAA","HOU",1.9,"OF",0,0,0,0,0,0,10.8,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33085",8.55455555555555,0,-3,16,0,4000,"Ian Kinsler","LAA","HOU",1.7,"2B",0,6.1,0,0,8.2,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33086",11.7065,0,-13,19,0,5700,"Mike Trout","LAA","HOU",1.4,"OF",3.65,0,0,2.92,3.5,4.38,0,2.3595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33087",6.26433333333333,0,-8,8,0,3200,"Kole Calhoun","LAA","HOU",1.6,"OF",0,1.08,2.7,3.0682,4.0404,1.9314,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33088",6.26172222222222,0,-11,8,0,4500,"Ryan Braun","MIL","KC",1.6,"OF",2.0646,0,0,0.56,1.2191,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33089",11.1957777777778,0,-10,0,0,3000,"Manny Pina","MIL","KC",1.9,"C",0,2.8681,0,1.16,0,0,1.8,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33090",12.9425,0,-5,4,0,4500,"Lorenzo Cain","MIL","KC",1.7,"OF",0,2.04,0,2.002,4.1144,3.075,0,1.1,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33091",10.0444444444444,0,-7,21,0,3400,"Jonathan Villar","MIL","KC",1.7,"2B",0,0,2.5,3.6,4.4044,0.875,1.8315,2.5,1.1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33092",10.4082777777778,0,-11,21,0,4700,"Christian Yelich","MIL","KC",1.6,"OF",2.0646,0,2.1,10.3,9.4129,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33093",11.1429444444444,0,-7,15,0,4700,"Eric Thames","MIL","KC",1.5,"1B",0,4.5356,1.5651,1.9314,0,1.04,2.6307,1.2727,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33094",9.73588888888889,0,-11,8,0,4000,"Travis Shaw","MIL","KC",1.8,"3B",0,1.15,0,0.69,2.6312,3.5402,1.54,2.92,1.5318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33095",6.42133333333333,0,-9,14,0,3500,"Domingo Santana","MIL","KC",2,"OF",0,1.5318,0,2.1,4.2,0,1.84,2.7742,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33096",6.48766666666667,0,-7,11,0,2600,"Eric Sogard","MIL","KC",2,"2B/SS",0,2.7,0,0,3.3633,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33097",7.24561111111111,0,-7,4,0,3200,"Marwin Gonzalez","HOU","LAA",1.8,"1B/OF",0.9,1.4625,0,0,0,1.1857,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33098",15.7702777777778,0,-11,1,0,5100,"Carlos Correa","HOU","LAA",1.4,"SS",0,0,0,1.6317,2.1978,3.1,0,2.4882,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33099",15.4781111111111,0,-6,3,0,4000,"Josh Reddick","HOU","LAA",1.6,"OF",2,0,0.75,0,1.125,2,0,0,3.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
