"RFPred","Name","HTeam","Pos","Actual","H","SB","HR","HRSplitL30","HSplitL30","HRSplit","HSplit"
3.24666666666667,"Adeiny Hechavarria","TBR","SS",0,1,0,0,0.666666666666667,0.318181818181818,0.631578947368421,0.722488038277512
2.9577,"Adeiny Hechavarria","TBR","SS",0,1,0,0,0.666666666666667,0.318181818181818,0.631578947368421,0.722488038277512
3.30983333333333,"Adeiny Hechavarria","TBR","SS",0,1,0,0,0.666666666666667,0.318181818181818,0.631578947368421,0.722488038277512
5.77256666666667,"Jesus Sucre","TBR","C",0,0.25,0,0,0,0.714285714285714,0.625,0.793103448275862
4.31186666666667,"Jesus Sucre","TBR","C",0,0.25,0,0,0,0.714285714285714,0.625,0.793103448275862
5.96653333333333,"Jesus Sucre","TBR","C",0,0.25,0,0,0,0.714285714285714,0.625,0.793103448275862
4.6722,"Jesus Sucre","TBR","C",0,0.25,0,0,0,0.714285714285714,0.625,0.793103448275862
7.08876666666667,"Wilson Ramos","TBR","C",5,1.55555555555556,0,1,0.2,0.407407407407407,0.555555555555556,0.602150537634409
4.0277,"Wilson Ramos","TBR","C",5,1.55555555555556,0,1,0.2,0.407407407407407,0.555555555555556,0.602150537634409
6.51686666666667,"Wilson Ramos","TBR","C",5,1.55555555555556,0,1,0.2,0.407407407407407,0.555555555555556,0.602150537634409
3.77163333333333,"Wilson Ramos","TBR","C",5,1.55555555555556,0,1,0.2,0.407407407407407,0.555555555555556,0.602150537634409
7.59103333333333,"Teoscar Hernandez","TOR","RF",9,0.933333333333333,3,3,0.285714285714286,0.387096774193548,0.413793103448276,0.337349397590361
9.1953,"Russell Martin","TOR","C",2,0.75,0,4,0,0.2,0.142857142857143,0.261363636363636
7.37376666666667,"Justin Smoak","TOR","1B",17,0.666666666666667,0,1,0.333333333333333,0.315789473684211,0.260869565217391,0.261780104712042
15.02,"Josh Donaldson","TOR","3B",2,1.3,0,4,0,0.142857142857143,0.121951219512195,0.212328767123288
5.1302,"Yangervis Solarte","TOR","3B",0,1.73333333333333,0,5,0.363636363636364,0.25,0.258064516129032,0.261627906976744
1.84253333333333,"Anthony Alford","TOR","LF",3,0.25,0,0,0,0,0,0
10.299,"Luke Maile","TOR","C",0,0.8,0,2,0.666666666666667,0.6,0.4,0.421052631578947
8.5381,"Kevin Pillar","TOR","CF",10,1.46666666666667,4,3,0.25,0.3,0.391304347826087,0.306306306306306
4.704,"Jose Rondon","CHW","MI",0,0.75,0,0,0,0,0,0
2.4492,"Adam Engel","CHW","CF",16,0.3,2,0,0,0.1,0,0.23943661971831
6.79446666666667,"Leury Garcia","CHW","UT",5,1.07692307692308,3,1,0,0.3,0,0.267857142857143
4.87896666666667,"Matt Davidson","CHW","DH",17,0.923076923076923,0,0,0.4,0.260869565217391,0.205882352941176,0.28125
7.0994,"Tim Anderson","CHW","SS",2,0.857142857142857,2,5,0.166666666666667,0.36,0.307692307692308,0.295918367346939
7.36976666666667,"Welington Castillo","CHW","C",5,0.714285714285714,0,2,0,0.2,0.379310344827586,0.362903225806452
8.49863333333333,"Jose Abreu","CHW","1B",11,0.928571428571429,1,1,0,0.148148148148148,0.181818181818182,0.246913580246914
5.76416666666667,"Javier Baez","CHC","2B",23,0.909090909090909,1,3,0.714285714285714,0.8,0.638888888888889,0.702247191011236
4.93326666666667,"Kyle Schwarber","CHC","LF",4,0.777777777777778,0,0,0.8,0.944444444444444,0.871794871794872,0.860655737704918
10.8835666666667,"Kris Bryant","CHC","3B",6,1.08333333333333,0,5,0.5,0.6,0.684210526315789,0.705314009661836
3.91483333333333,"David Bote","CHC","IF",13,1,0,0,0,0.5,0,0.5
18.3361666666667,"Willson Contreras","CHC","C",21,1.1,0,2,0.75,0.8,0.703703703703704,0.731543624161074
4.5666,"Albert Almora","CHC","CF",2,0.727272727272727,0,0,0,0.681818181818182,0.545454545454545,0.603174603174603
4.24686666666667,"Addison Russell","CHC","SS",7,1.09090909090909,0,1,0.5,0.666666666666667,0.571428571428571,0.594827586206897
7.2218,"Anthony Rizzo","CHC","1B",19,1.09090909090909,0,4,0.6,0.80952380952381,0.675675675675676,0.720430107526882
