"","RFPred","Name","HTeam","Pos","Actual","H","SB","HR","HRSplitL30","HSplitL30","HRSplit","HSplit"
"65404",7.17986666666667,"Jarrod Dyson","ARI","OF",0,0.625,0,0,0,0.888888888888889,0.833333333333333,0.841584158415842
"65405",9.76530000000001,"Paul Goldschmidt","ARI","1B",5,1.27272727272727,0,4,0.2,0.5,0.795454545454545,0.753768844221106
"65406",5.0545,"Kyle Schwarber","CHC","LF",8,0.555555555555556,0,1,0.666666666666667,0.727272727272727,0.857142857142857,0.838095238095238
"65407",4.7456,"Albert Almora","CHC","CF",5,0.75,0,1,0,0.222222222222222,0.545454545454545,0.575471698113208
"65408",7.71246666666667,"Javier Baez","CHC","2B",18,1,1,5,0.5,0.538461538461538,0.612903225806452,0.679738562091503
"65410",5.51983333333333,"Anthony Rizzo","CHC","1B",13,0,0,0,0,0.5,0.666666666666667,0.704819277108434
"65411",3.67213333333334,"Addison Russell","CHC","SS",5,0.6,0,0,0,0.416666666666667,0.538461538461538,0.571428571428571
"65412",4.91276666666667,"Willson Contreras","CHC","C",5,1.33333333333333,0,0,0,0.588235294117647,0.666666666666667,0.712121212121212
"65414",8.73116666666667,"Kris Bryant","CHC","3B",7,1.2,0,1,0.5,0.55,0.696969696969697,0.706806282722513
"65415",5.11476666666666,"Jason Heyward","CHC","RF",20,0.6,0,1,0,0.636363636363636,0.615384615384615,0.731707317073171
"65416",8.12693333333334,"Neil Walker","NYY","1B",8,0.625,0,0,0,0.5,0.838709677419355,0.754464285714286
"65417",1.6195,"Tyler Wade","NYY","2B",0,0.142857142857143,0,0,0,0.75,0,0.642857142857143
"65418",11.2930333333333,"Didi Gregorius","NYY","SS",3,0.9,2,3,0.666666666666667,0.666666666666667,0.805555555555556,0.706185567010309
"65419",8.35886666666667,"Brett Gardner","NYY","LF",3,1.22222222222222,1,0,0,0.647058823529412,0.833333333333333,0.770408163265306
"65420",5.44803333333334,"Ronald Torreyes","NYY","IF",7,1.125,0,0,0,0.818181818181818,0.333333333333333,0.699115044247788
"65421",18.9991333333333,"Giancarlo Stanton","NYY","DH",5,0.9,1,0,0,0.2,0.71830985915493,0.718592964824121
"65422",8.19046666666667,"Gary Sanchez","NYY","C",3,1.125,0,2,0,0.416666666666667,0.631578947368421,0.697530864197531
"65423",14.3399666666667,"Aaron Judge","NYY","RF",17,1.4,2,3,0.4,0.523809523809524,0.666666666666667,0.687830687830688
"65424",9.3315,"Aaron Hicks","NYY","CF",7,0.75,0,2,0.666666666666667,0.5,0.526315789473684,0.510204081632653
