RFPred,Name,HTeam,Pos
7.120166667,Greg Garcia,STL,IF
7.080888889,Matt Carpenter,STL,3B
5.116722222,Harrison Bader,STL,OF
4.774,Jedd Gyorko,STL,3B
4.2935,Francisco Pena,STL,C
3.474055556,Carson Kelly,STL,C
0.766666667,Tyler ONeill,STL,OF
0.529833333,Yairo Munoz,STL,3B
14.69322222,Josh Donaldson,TOR,UT
12.43238889,Curtis Granderson,TOR,LF
12.2245,Teoscar Hernandez,TOR,OF
10.06572222,Justin Smoak,TOR,1B
9.263888889,Kevin Pillar,TOR,CF
9.145055556,Kendrys Morales,TOR,DH
8.781611111,Russell Martin,TOR,C
8.748388889,Randal Grichuk,TOR,RF
8.463722222,Aledmys Diaz,TOR,SS
7.194666667,Devon Travis,TOR,2B
6.469277778,Yangervis Solarte,TOR,3B
5.880166667,Steve Pearce,TOR,UT
4.521611111,Lourdes Gurriel,TOR,MI
4.129888889,Dwight Smith,TOR,LF
4.001777778,Anthony Alford,TOR,LF
3.877944444,Luke Maile,TOR,C
3.141555556,Richard Urena,TOR,2B
2.74,Dalton Pompey,TOR,LF
2.165,Gift Ngoepe,TOR,UT
10.72477778,Matt Adams,WSN,UT
10.44772222,Bryce Harper,WSN,RF
9.687,Howie Kendrick,WSN,2B
8.808388889,Adam Eaton,WSN,LF
7.362777778,Trea Turner,WSN,SS
6.765388889,Pedro Severino,WSN,C
6.613444444,Anthony Rendon,WSN,3B
6.414,Michael Taylor,WSN,CF
5.947111111,Wilmer Difo,WSN,IF
5.528277778,Ryan Zimmerman,WSN,1B
3.93,Brian Goodwin,WSN,OF
3.404555556,Matt Wieters,WSN,C
2.171888889,Andrew Stevenson,WSN,OF
2.111333333,Matt Reynolds,WSN,3B
1.537111111,Moises Sierra,WSN,LF
0.749722222,Adrian Sanchez,WSN,3B
0.746888889,Rafael Bautista,WSN,OF
0.616666667,Miguel MonteroDFA,WSN,C
