"","RFPred","Name","HTeam","Pos","Actual","H","SB","HR","HRSplit","HSplit"
"64845",0.919,"Ryan McMahon","COL","CI",3,0.333333333333333,0,0,0,0.666666666666667
"64846",11.6584333333333,"Charlie Blackmon","COL","CF",3,1.66666666666667,0,3,0.571428571428571,0.294117647058824
"64847",7.4852,"Carlos Gonzalez","COL","RF",2,0.833333333333333,1,1,0.5,0.5
"64848",8.35566666666667,"Trevor Story","COL","SS",14,0.5,1,1,0.4,0.307692307692308
"64849",6.67736666666666,"Ian Desmond","COL","1B",4,0.333333333333333,1,1,0.25,0.272727272727273
"64850",4.13923333333334,"Gerardo Parra","COL","LF",4,0.833333333333333,1,0,0,0.666666666666667
"64851",2.5065,"Tony Wolters","COL","C",0,0.333333333333333,0,0,0,0.75
"64852",10.5647,"DJ LeMahieu","COL","2B",8,1.33333333333333,0,3,0.6,0.523809523809524
"64853",2.34176666666667,"Kyle Farmer","LAD","3B",8,0.75,0,0,0,0
"64856",11.3015,"Yasiel Puig","LAD","RF",10,0.6,0,0,0,0
"64857",15.3779333333333,"Corey Seager","LAD","SS",8,1,0,0,0,0
"64858",13.7408666666667,"Chris Taylor","LAD","CF",9,1,0,2,0,0
"64859",5.3838,"Matt Kemp","LAD","LF",15,1.2,0,1,0,0.0666666666666667
"64861",6.0229,"Chase Utley","LAD","2B",11,1,0,0,0,0
"64862",9.3722,"Yasmani Grandal","LAD","C",8,1.75,0,2,0,0
"64864",12.5460666666667,"Cody Bellinger","LAD","1B",13,1.4,0,1,0,0
"64865",8.1211,"Jose Altuve","HOU","2B",3,0.8,0,0,0,0.363636363636364
"64866",6.64666666666667,"Carlos Correa","HOU","SS",8,0.8,1,0,0.333333333333333,0.375
"64868",7.438,"Josh Reddick","HOU","RF",0,0.75,1,0,0,0
"64869",5.8921,"Alex Bregman","HOU","3B",5,1.2,1,1,0,0.2
"64870",6.65893333333334,"Yuli Gurriel","HOU","1B",11,0.75,0,0,0,0.25
"64871",8.60703333333333,"George Springer","HOU","OF",0,1.2,0,3,0.75,0.4375
"64872",6.21443333333333,"Brian McCann","HOU","C",21,1,0,0,0,0.636363636363636
"64873",6.30576666666666,"Evan Gattis","HOU","DH",10,0.4,0,0,0,0.2
"64874",4.9909,"Jake Marisnick","HOU","CF",0,0,0,0,0,0.428571428571429
"64875",6.25783333333334,"Daniel Descalso","ARI","3B",0,0.75,0,1,0.333333333333333,0.625
"64876",7.1932,"David Peralta","ARI","LF",3,1.66666666666667,0,0,0.333333333333333,0.611111111111111
"64877",6.51416666666667,"Nick Ahmed","ARI","SS",0,0.25,0,1,0.5,0.636363636363636
"64878",6.10746666666667,"Alex Avila","ARI","C",3,1,0,1,0,0
"64879",9.04093333333334,"Jarrod Dyson","ARI","OF",7,0.5,0,0,0,0.857142857142857
"64880",5.87813333333333,"Ketel Marte","ARI","2B",0,1.75,0,0,0,0.611111111111111
"64881",10.8609666666667,"Paul Goldschmidt","ARI","1B",2,1.75,0,3,0.2,0.428571428571429
"64882",11.6401,"A.J. Pollock","ARI","CF",0,0.5,0,2,0.25,0.6875
"64884",11.1906666666667,"Kris Bryant","CHC","3B",2,1.5,0,0,0.5,0.55
"64885",9.1961,"Ian Happ","CHC","OF",2,1.25,0,1,0,0.636363636363636
"64886",5.27726666666667,"Jason Heyward","CHC","RF",3,0.5,0,0,0,0.6
"64888",7.64963333333333,"Addison Russell","CHC","SS",7,0.5,0,0,0,0.363636363636364
"64890",6.60986666666667,"Willson Contreras","CHC","C",5,0.666666666666667,0,0,0,0.5625
"64891",7.5773,"Anthony Rizzo","CHC","1B",4,NA,0,0,0,0.5
"64892",8.37336666666666,"Javier Baez","CHC","2B",24,0.75,1,2,0.4,0.4
"64893",5.0321,"Kyle Schwarber","CHC","LF",6,1,0,1,0.666666666666667,0.727272727272727
"64894",6.0456,"Isiah KinerFalefa","TEX","2B",15,0.4,0,1,0.5,0.666666666666667
"64895",11.0866,"ShinSoo Choo","TEX","DH",25,0.4,0,0,0.75,0.5625
"64896",5.78996666666666,"Drew Robinson","TEX","UT",7,0.25,0,0,0,0.666666666666667
"64897",11.027,"Ronald Guzman","TEX","1B",6,1.33333333333333,0,0,0,0.8
"64898",0.725,"Carlos Tocci","TEX","CF",3,0,0,0,0,0
"64899",9.08,"Joey Gallo","TEX","LF",4,1,0,3,0.571428571428571,0.705882352941177
"64900",2.33633333333333,"Juan Centeno","TEX","C",3,0,0,0,0,0.75
"64901",8.1844,"Adrian Beltre","TEX","3B",3,0.8,0,1,0.5,0.631578947368421
"64902",5.31736666666667,"Nomar Mazara","TEX","RF",8,1,0,1,0,0.55
"64903",6.7081,"Adeiny Hechavarria","TBR","SS",9,0.5,0,0,0,0.545454545454545
"64904",2.78883333333333,"Rob Refsnyder","TBR","UT",3,0,0,0,0,0
"64906",8.0866,"Wilson Ramos","TBR","C",15,1.33333333333333,0,0,0,0.454545454545455
"64907",4.67223333333333,"Daniel Robertson","TBR","IF",6,0.333333333333333,0,1,0.5,0.5
"64908",4.816,"Johnny Field","TBR","OF",0,0.666666666666667,0,0,0,0
"64909",7.07196666666666,"Carlos Gomez","TBR","RF",2,0.4,0,0,0,0.25
"64910",8.8771,"C.J. Cron","TBR","DH",8,1.4,0,1,0.666666666666667,0.428571428571429
"64911",9.81809999999999,"Mallex Smith","TBR","CF",0,1.8,0,0,0,0.210526315789474
"64914",5.00816666666667,"Drew Butera","KCR","C",3,0.5,0,0,0,0.333333333333333
"64915",2.71336666666667,"Drew Butera","KCR","C",3,0.5,0,0,0,0.333333333333333
"649141",4.50806666666667,"Drew Butera","KCR","C",3,0.5,0,0,0,0.333333333333333
"649151",2.3292,"Drew Butera","KCR","C",3,0.5,0,0,0,0.333333333333333
"64918",4.68246666666666,"Abraham Almonte","KCR","CF",15,0.333333333333333,0,0,0,0
"64919",4.33616666666667,"Abraham Almonte","KCR","CF",15,0.333333333333333,0,0,0,0
"64940",4.73313333333333,"Abraham Almonte","KCR","CF",0,0.333333333333333,0,0,0,0
"64941",4.40486666666667,"Abraham Almonte","KCR","CF",0,0.333333333333333,0,0,0,0
"649181",4.63656666666667,"Abraham Almonte","KCR","CF",15,0.333333333333333,0,0,0,0
"649191",4.5097,"Abraham Almonte","KCR","CF",15,0.333333333333333,0,0,0,0
"649401",4.56933333333334,"Abraham Almonte","KCR","CF",0,0.333333333333333,0,0,0,0
"649411",4.5858,"Abraham Almonte","KCR","CF",0,0.333333333333333,0,0,0,0
"64920",4.00773333333333,"Cam Gallagher","KCR","UT",6,0.5,0,0,0,0.5
"64921",4.50976666666666,"Cam Gallagher","KCR","UT",6,0.5,0,0,0,0.5
"649201",3.85063333333333,"Cam Gallagher","KCR","UT",6,0.5,0,0,0,0.5
"649211",4.42903333333333,"Cam Gallagher","KCR","UT",6,0.5,0,0,0,0.5
"64926",2.73346666666667,"Ryan Goins","KCR","IF",0,1.5,0,0,0,0.8
"64927",4.0314,"Ryan Goins","KCR","IF",0,1.5,0,0,0,0.8
"64928",3.32916666666667,"Ryan Goins","KCR","IF",0,1.5,0,0,0,0.8
"64929",4.2639,"Ryan Goins","KCR","IF",0,1.5,0,0,0,0.8
"649261",3.09976666666667,"Ryan Goins","KCR","IF",0,1.5,0,0,0,0.8
"649271",4.1336,"Ryan Goins","KCR","IF",0,1.5,0,0,0,0.8
"649281",3.56556666666667,"Ryan Goins","KCR","IF",0,1.5,0,0,0,0.8
"649291",4.6714,"Ryan Goins","KCR","IF",0,1.5,0,0,0,0.8
"649262",2.966,"Ryan Goins","KCR","IF",0,1.5,0,0,0,0.8
"649272",4.48216666666667,"Ryan Goins","KCR","IF",0,1.5,0,0,0,0.8
"649282",3.5668,"Ryan Goins","KCR","IF",0,1.5,0,0,0,0.8
"649292",5.15313333333333,"Ryan Goins","KCR","IF",0,1.5,0,0,0,0.8
"649263",2.84666666666667,"Ryan Goins","KCR","IF",0,1.5,0,0,0,0.8
"649273",4.17436666666667,"Ryan Goins","KCR","IF",0,1.5,0,0,0,0.8
"649283",3.361,"Ryan Goins","KCR","IF",0,1.5,0,0,0,0.8
"649293",4.42956666666667,"Ryan Goins","KCR","IF",0,1.5,0,0,0,0.8
"64932",3.7265,"Jorge Soler","KCR","RF",6,0.75,0,0,0,0.222222222222222
"64933",3.42366666666667,"Jorge Soler","KCR","RF",6,0.75,0,0,0,0.222222222222222
"649321",3.7057,"Jorge Soler","KCR","RF",6,0.75,0,0,0,0.222222222222222
"649331",3.19746666666667,"Jorge Soler","KCR","RF",6,0.75,0,0,0,0.222222222222222
"649182",4.73166666666667,"Abraham Almonte","KCR","CF",15,0.333333333333333,0,0,0,0
"649192",4.4335,"Abraham Almonte","KCR","CF",15,0.333333333333333,0,0,0,0
"649402",4.64916666666667,"Abraham Almonte","KCR","CF",0,0.333333333333333,0,0,0,0
"649412",4.3264,"Abraham Almonte","KCR","CF",0,0.333333333333333,0,0,0,0
"649183",4.7801,"Abraham Almonte","KCR","CF",15,0.333333333333333,0,0,0,0
"649193",4.34233333333333,"Abraham Almonte","KCR","CF",15,0.333333333333333,0,0,0,0
"649403",4.8467,"Abraham Almonte","KCR","CF",0,0.333333333333333,0,0,0,0
"649413",4.43776666666667,"Abraham Almonte","KCR","CF",0,0.333333333333333,0,0,0,0
"64944",4.9559,"Paulo Orlando","KCR","UT",0,1.33333333333333,0,0,0,0.555555555555556
"64945",4.38183333333334,"Paulo Orlando","KCR","UT",0,1.33333333333333,0,0,0,0.555555555555556
"649441",4.82853333333333,"Paulo Orlando","KCR","UT",0,1.33333333333333,0,0,0,0.555555555555556
"649451",4.2512,"Paulo Orlando","KCR","UT",0,1.33333333333333,0,0,0,0.555555555555556
"64953",4.4785,"Wilmer Flores","NYM","CI",6,0.5,0,1,0.666666666666667,0.666666666666667
"64955",4.80993333333334,"Yoenis Cespedes","NYM","LF",6,0.6,0,0,0.666666666666667,0.916666666666667
"64956",7.23186666666666,"Todd Frazier","NYM","3B",0,1.6,0,2,0.666666666666667,0.875
"64958",4.94386666666666,"Amed Rosario","NYM","SS",11,0.2,0,0,0,0.909090909090909
"64959",4.12536666666667,"Juan Lagares","NYM","CF",8,0.333333333333333,2,0,0,0.888888888888889
"64960",0.4048,"Tomas Nido","NYM","C",3,0,0,0,0,0
"64961",8.55706666666667,"Jay Bruce","NYM","RF",0,0.2,0,0,0.5,0.916666666666667
"64962",8.45473333333334,"Asdrubal Cabrera","NYM","2B",2,1.4,0,1,0.8,0.909090909090909
