"RFPred","Name","HTeam","Pos","Actual","H","SB","HR","HRSplitL30","HSplitL30","HRSplit","HSplit","SplitsGood","Splits30Good","Date"
0,"Hanser Alberto","TEX","3B",0,0,0,0,0,0,0,0,0,0,"2018-05-24"
5.32686666666667,"Adrian Gonzalez","NYM","1B",0,0.888888888888889,0,0,0.5,0.631578947368421,0.777777777777778,0.793478260869565,1,0,"2018-05-24"
4.37726666666667,"Asdrubal Cabrera","NYM","2B",0,1,0,1,0.25,0.583333333333333,0.76,0.772946859903382,1,0,"2018-05-24"
3.0897,"Amed Rosario","NYM","SS",0,0.8,0,2,0,0.523809523809524,0.555555555555556,0.720930232558139,1,0,"2018-05-24"
6.50523333333333,"Todd Frazier","NYM","3B",0,NA,0,0,0.333333333333333,0.6,0.714285714285714,0.771317829457364,1,0,"2018-05-24"
9.6287,"Yoenis Cespedes","NYM","LF",0,1.5,0,1,0.5,0.666666666666667,0.692307692307692,0.758064516129032,1,0,"2018-05-24"
6.09103333333333,"Jay Bruce","NYM","RF",0,0.75,0,0,0.5,0.578947368421053,0.8125,0.759420289855072,1,0,"2018-05-24"
5.53126666666667,"Wilmer Flores","NYM","CI",0,0.8,0,0,0.5,0.571428571428571,0.708333333333333,0.732824427480916,1,0,"2018-05-24"
10.5331333333333,"Brandon Nimmo","NYM","OF",0,0.9,2,2,0.333333333333333,0.4,0.8,0.712328767123288,1,0,"2018-05-24"
3.7219,"Juan Lagares","NYM","CF",0,1,1,0,0,0.222222222222222,0.6,0.736363636363636,1,0,"2018-05-24"
4.67873333333333,"Kevin Plawecki","NYM","C",0,NA,0,0,0,0,0.666666666666667,0.793103448275862,1,0,"2018-05-24"
2.54496666666667,"Travis dArnaud","NYM","C",0,NA,0,0,0,0,0.80952380952381,0.785714285714286,1,0,"2018-05-24"
2.73493333333333,"Jose Reyes","NYM","IF",0,0.375,0,0,0,0.333333333333333,0.6875,0.77027027027027,1,0,"2018-05-24"
2.0039,"Phillip Evans","NYM","UT",0,0.333333333333333,0,0,0,0.5,0,0.833333333333333,0,0,"2018-05-24"
