Fernando Salas,R,,RP,461,19,Apr 20 2018,ARI,NULL,SDP,L14,88,NULL,1,1.0,0,0,0,0,1,0,0,1.42,3,10,9,3,1,1,1,0,0,0,NULL,0,0,0,0,0,3,0,0,0,0,0,0,.76,0.060,0.57,4.25,6.00,0,0,
Fernando Salas,R,,RP,462,20,Apr 21 2018,ARI,NULL,SDP,W62,77,H1,0,1.0,1,0,0,0,0,0,0,1.32,4,11,8,4,0,2,2,1,0,0,NULL,0,0,0,0,0,4,0,0,0,0,0,0,1.03,0.077,0.57,1.65,3.00,0,0,
Fernando Salas,R,,RP,463,22,Apr 24 2018,ARI,1,PHI,W84,56,W31,2,1.0,1,1,1,0,1,0,0,1.84,4,19,12,2,3,1,2,0,0,0,NULL,1,0,0,0,0,4,0,0,0,0,0,0,1.71,0.074,0.50,5.65,15.00,0,0,
Fernando Salas,R,,RP,464,23,Apr 25 2018,ARI,1,PHI,L35,8GF8,NULL,0,0.2,1,0,0,0,0,0,0,1.76,2,5,5,1,0,2,0,0,0,0,NULL,0,0,0,0,0,2,0,0,0,1,0,0,.24,0.008,0.26,0.90,2.00,0,8bendd2,
Fernando Salas,R,,RP,465,26,Apr 28 2018,ARI,1,WSN,W43,77,NULL,2,0.1,0,0,0,0,0,0,0,1.72,1,4,3,2,0,1,0,0,0,0,NULL,1,0,0,0,0,1,0,0,0,0,0,0,1.34,0.037,0.38,0.75,1.00,0,0,
Fernando Salas,R,,RP,466,27,Apr 29 2018,ARI,1,WSN,L13,78,NULL,0,1.2,0,0,0,2,1,0,0,1.56,7,33,19,4,4,2,2,0,0,0,NULL,0,0,1,0,0,5,0,0,1,1,0,1,.45,0.034,0.82,4.55,8.00,0,0,
Fernando Salas,R,,RP,467,31,May 3 2018,ARI,NULL,LAD,L25,88,L32,3,0.0,2,3,3,1,0,0,0,3.12,3,13,7,1,0,0,2,2,0,0,NULL,0,0,0,0,0,2,0,0,0,0,0,0,3.19,0.355,1.85,7.80,9.00,0,0,
Fernando Salas,R,,RP,468,35,May 8 2018,ARI,1,LAD,W85,67,H2,4,0.2,0,0,0,0,1,0,0,3.00,2,9,8,2,0,0,1,0,0,0,NULL,1,0,0,0,0,2,0,0,0,0,0,0,1.70,0.091,0.47,3.50,5.00,0,0,
Fernando Salas,R,,RP,469,36,May 9 2018,ARI,1,LAD,L36,66,L33,0,0.2,3,3,3,0,1,0,0,4.34,5,17,11,3,1,1,3,2,0,0,NULL,0,0,0,0,0,4,0,0,0,0,1,0,2.29,0.160,0.94,4.30,4.00,0,0,
Fernando Salas,R,,RP,470,37,May 10 2018,ARI,NULL,WSN,L12,1111,L34,0,0.0,1,1,1,1,0,0,0,4.82,2,8,3,1,0,1,0,0,0,0,NULL,0,0,0,0,0,1,0,0,0,0,0,0,2.90,0.198,1.02,3.20,3.00,0,0,
Fernando Salas,R,,RP,471,41,May 14 2018,ARI,NULL,MIL,L27,8GF,NULL,3,2.0,3,3,3,0,4,2,0,5.66,9,37,24,10,4,3,2,1,0,0,NULL,0,0,0,0,0,9,0,0,0,0,0,0,.27,0.039,1.86,4.70,9.00,0,9tendd5,
Fernando Salas,R,,RP,472,44,May 18 2018,ARI,1,NYM,L13,8GF8,NULL,3,1.0,2,0,0,1,0,0,0,5.40,6,19,13,4,2,2,3,0,2,0,NULL,0,0,0,0,0,5,0,0,0,0,0,0,.40,0.014,0.50,0.45,3.00,0,8bendd2,
Fernando Salas,R,,RP,473,46,May 20 2018,ARI,1,NYM,L14,8GF8,NULL,1,1.0,1,0,0,0,0,0,0,5.16,4,18,13,2,1,2,2,1,1,0,NULL,0,0,0,0,0,4,0,0,0,0,0,0,.09,0.006,0.50,1.65,3.00,0,8bendd3,
Fernando Salas,R,,RP,474,47,May 21 2018,ARI,1,MIL,L24,78,NULL,0,1.1,1,0,0,0,2,0,0,4.88,5,22,13,4,2,1,2,0,0,0,NULL,0,0,1,0,0,5,0,0,0,0,0,0,.50,0.032,0.77,6.40,10.00,0,0,
Fernando Salas,R,,RP,475,49,May 23 2018,ARI,1,MIL,L29,44,NULL,1,0.2,1,0,0,0,1,0,0,4.74,3,15,9,3,2,1,1,1,0,0,NULL,2,2,0,0,0,3,0,0,0,0,0,0,.30,0.040,1.07,2.90,5.00,0,0,
Fernando Salas,R,,RP,476,51,May 26 2018,ARI,1,OAK,L03,8GF8,NULL,2,1.0,2,1,1,0,0,1,0,4.91,5,10,8,1,1,1,4,1,0,0,NULL,0,0,0,0,0,5,1,0,0,0,0,0,.13,0.027,0.49,0.95,0.00,0,8bendd3,
