,RFPred,Name,HTeam,Pos,Actual,H,SB,HR,HRSplitL30,HSplitL30,HRSplit,HSplit
71557,9.7446,Yoenis Cespedes,NYM,LF,3,1,3,2,0.6,0.68,0.68,0.745901639
71552,8.304966667,Michael Conforto,NYM,CF,20,0.555555556,0,1,0.5,0.666666667,0.827586207,0.819548872
71553,7.399333333,Wilmer Flores,NYM,CI,3,0.454545455,0,1,0.666666667,0.666666667,0.708333333,0.74796748
71555,6.175,Adrian Gonzalez,NYM,1B,3,1.111111111,0,3,0.6,0.6,0.777777778,0.788235294
71549,5.4403,Asdrubal Cabrera,NYM,2B,11,1.166666667,0,2,0.5,0.689655172,0.791666667,0.777777778
71543,11.05836667,Aaron Judge,NYY,RF,17,1,0,2,0.857142857,0.851851852,0.692307692,0.706161137
71540,10.9437,Didi Gregorius,NYY,SS,0,0.666666667,0,1,0.5,0.5,0.756097561,0.686915888
71541,8.462366667,Neil Walker,NYY,1B,3,0.666666667,0,0,0,0.818181818,0.838709677,0.760683761
71537,8.459266667,Brett Gardner,NYY,LF,11,0.583333333,0,0,0,0.875,0.833333333,0.777777778
71536,7.8739,Gleyber Torres,NYY,2B,15,1.153846154,1,2,0.666666667,0.590909091,0.666666667,0.590909091
71538,7.477066667,Giancarlo Stanton,NYY,DH,3,0.846153846,1,4,0.571428571,0.652173913,0.714285714,0.712328767
71544,5.997166667,Aaron Hicks,NYY,CF,0,0.666666667,3,0,0.666666667,0.705882353,0.526315789,0.531531532
71545,4.841833333,Austin Romine,NYY,C,3,1,0,0,0,0.4,0.666666667,0.712121212
71539,4.7363,Miguel Andujar,NYY,3B,7,1,0,0,0.5,0.566666667,0.5,0.526315789
71530,11.79963333,Khris Davis,OAK,DH,15,0.416666667,0,2,0.375,0.5,0.666666667,0.710659898
71534,11.0314,Matt Olson,OAK,1B,11,0.416666667,0,1,0.666666667,0.705882353,0.766666667,0.752941176
71533,8.043966667,Jed Lowrie,OAK,2B,21,1.090909091,0,2,0.666666667,0.53125,0.818181818,0.689189189
71528,7.229,Marcus Semien,OAK,SS,11,0.916666667,1,0,0,0.333333333,0.642857143,0.594202899
71527,6.806933333,Matt Chapman,OAK,3B,21,0.416666667,0,1,0.333333333,0.357142857,0.625,0.594594595
71529,5.020666667,Matthew Joyce,OAK,LF,20,0.454545455,0,0,0,0.8,0.724137931,0.794701987
71535,4.3304,Jonathan Lucroy,OAK,C,5,1.222222222,0,0,0,0.666666667,0.8,0.697080292
71532,4.140633333,Mark Canha,OAK,CF,14,0.8,0,2,0.166666667,0.363636364,0.416666667,0.45
71531,0,Dustin Fowler,OAK,CF,5,0,0,0,0,0,0,0
71520,9.951266667,Aaron Altherr,PHI,RF,2,0.75,0,1,0.5,0.684210526,0.62962963,0.624113475
71517,9.601233333,Cesar Hernandez,PHI,2B,8,0.769230769,1,2,0.666666667,0.769230769,0.846153846,0.756097561
71519,8.882533333,Odubel Herrera,PHI,CF,20,1.384615385,1,4,0.833333333,0.805555556,0.772727273,0.724299065
71523,8.181066667,Carlos Santana,PHI,1B,0,0.846153846,0,4,0.6,0.761904762,0.6875,0.634259259
71525,6.839966667,Rhys Hoskins,PHI,LF,4,0.615384615,0,1,0.5,0.681818182,0.785714286,0.779069767
71521,6.358933333,Jorge Alfaro,PHI,C,3,1,0,3,0.5,0.666666667,0.7,0.648148148
71526,4.609266667,Maikel Franco,PHI,3B,3,1.333333333,0,5,0.833333333,0.807692308,0.647058824,0.737142857
71524,4.267366667,Scott Kingery,PHI,IF,6,0.666666667,1,0,0,0.8125,0.333333333,0.76
71582,8.4878,Starling Marte,PIT,CF,23,1.25,1,2,0,0.114285714,0.285714286,0.183823529
71579,8.176633333,Gregory Polanco,PIT,RF,8,1,1,2,0,0.045454545,0.05,0.236641221
71586,7.7908,Josh Bell,PIT,1B,15,0.916666667,0,1,0,0.166666667,0.147058824,0.179487179
71581,7.4437,Francisco Cervelli,PIT,C,5,1.111111111,0,2,0.166666667,0.12,0.166666667,0.201923077
71578,6.622633333,Jordy Mercer,PIT,SS,21,0.909090909,0,2,0,0.173913043,0.266666667,0.233532934
71583,5.488733333,David Freese,PIT,3B,2,0.571428571,0,1,0,0.272727273,0.214285714,0.253623188
71588,4.364033333,Max Moroff,PIT,2B,18,0.333333333,0,1,0,0.285714286,0,0.21875
71584,4.066533333,Sean Rodriguez,PIT,UT,13,0.1,0,0,0.333333333,0.285714286,0.285714286,0.25
71599,10.38913333,Eric Hosmer,SDP,1B,3,1,0,3,0.6,0.421052632,0.771428571,0.770428016
71594,9.096433333,Jose Pirela,SDP,LF,21,0.846153846,1,0,0,0.652173913,0.7,0.654411765
71598,6.5571,Manuel Margot,SDP,CF,6,0.916666667,2,0,0,0.5,0.666666667,0.645962733
71593,5.985766667,A.J. Ellis,SDP,C,10,1.4,0,0,0,0.555555556,0.714285714,0.731707317
71591,3.525366667,Franchy Cordero,SDP,OF,11,1.230769231,2,2,0.333333333,0.666666667,0.333333333,0.714285714
71596,3.129133333,Christian Villanueva,SDP,3B,2,0.307692308,0,2,0.285714286,0.6,0.363636364,0.538461538
71592,2.600333333,Travis Jankowski,SDP,OF,23,0.9,1,0,0,0.7,0,0.782608696
71559,9.508133333,Buster Posey,SFG,C,11,1.181818182,0,0,0,0.857142857,0.263157895,0.701923077
71561,9.219166667,Andrew McCutchen,SFG,RF,6,1,0,0,0,0.695652174,0.484848485,0.668292683
71558,8.393833333,Evan Longoria,SFG,3B,7,1,0,3,0.571428571,0.6,0.678571429,0.735159817
71562,7.976933333,Austin Jackson,SFG,CF,3,0.666666667,1,0,0,0.571428571,0.7,0.458646617
71560,7.619366667,Brandon Crawford,SFG,SS,5,1.125,0,2,0.666666667,0.807692308,0.888888889,0.838150289
71566,6.749933333,Brandon Belt,SFG,1B,2,0.9375,1,0,0.666666667,0.857142857,0.730769231,0.8046875
71563,6.6383,Alen Hanson,SFG,2B,10,0.923076923,2,2,0.666666667,0.923076923,0.769230769,0.87394958
71564,4.413666667,Gregor Blanco,SFG,OF,8,1.083333333,3,1,0.5,0.857142857,0.8,0.816091954
71570,9.0556,Tommy Pham,STL,CF,21,0.666666667,2,3,0.6,0.375,0.785714286,0.75
71574,8.962833333,Marcell Ozuna,STL,LF,24,1.090909091,2,0,0,0.6,0.893617021,0.807531381
71577,8.4272,Jedd Gyorko,STL,3B,25,0.555555556,0,2,0.25,0.4,0.583333333,0.731884058
71573,8.030833333,Jose Martinez,STL,1B,2,0.888888889,0,1,0.333333333,0.48,0.826086957,0.76744186
71568,7.536833333,Paul DeJong,STL,SS,18,0.727272727,0,0,0.6,0.714285714,0.75,0.777070064
71575,7.0007,Kolten Wong,STL,2B,4,0.7,0,1,0.666666667,0.5,0.833333333,0.796875
71569,5.739,Harrison Bader,STL,OF,15,0.5,1,0,0.5,0.538461538,0.833333333,0.722222222
71571,1.612933333,Carson Kelly,STL,C,0,0,0,0,0,0,0,0.833333333
71362,7.902733333,Denard Span,TBR,LF,13,0.636363636,1,2,0.25,0.277777778,0.125,0.158823529
71360,6.389033333,Matt Duffy,TBR,3B,8,1.4,0,0,0,0.421052632,0.5,0.387096774
71358,6.2008,Brad Miller,TBR,1B,8,0.636363636,0,2,0.333333333,0.166666667,0.214285714,0.186813187
71363,5.777166667,Mallex Smith,TBR,CF,0,0.777777778,3,0,0,0.260869565,0,0.232142857
71355,5.088533333,Wilson Ramos,TBR,C,3,1.555555556,0,2,0.4,0.384615385,0.277777778,0.304347826
71361,4.9375,Adeiny Hechavarria,TBR,SS,9,0.875,0,0,0,0.5,0.315789474,0.256038647
71356,4.2626,Carlos Gomez,TBR,RF,16,0.9,1,2,0.25,0.3125,0.272727273,0.258064516
71357,3.749,C.J. Cron,TBR,DH,6,1,0,1,0.142857143,0.321428571,0.384615385,0.3
71359,2.480266667,Joey Wendle,TBR,2B,6,0.285714286,0,0,0,0.0625,0,0.096774194
71445,9.0063,Delino DeShields,TEX,CF,3,1.384615385,5,2,0.333333333,0.590909091,0.222222222,0.614814815
71453,7.807633333,Joey Gallo,TEX,LF,2,0.666666667,0,5,0.6,0.8,0.807017544,0.815384615
71451,7.023,Robinson Chirinos,TEX,C,0,0.875,0,3,0.571428571,0.5,0.666666667,0.663157895
71447,6.857566667,ShinSoo Choo,TEX,DH,3,1,0,0,0.666666667,0.608695652,0.827586207,0.710526316
71448,6.750466667,Adrian Beltre,TEX,3B,2,2,0,0,0.5,0.764705882,0.55,0.692307692
71449,6.279066667,Ronald Guzman,TEX,1B,0,0.6,0,0,0,0.8,0,0.8
71446,6.127833333,Jurickson Profar,TEX,SS,6,0.769230769,0,2,0.333333333,0.619047619,0.333333333,0.714285714
71452,5.373133333,Nomar Mazara,TEX,RF,11,1.307692308,0,7,0.5,0.678571429,0.677419355,0.773195876
71450,5.168033333,Rougned Odor,TEX,2B,0,NA,0,0,0,0,0.766666667,0.735714286
71374,13.046,Teoscar Hernandez,TOR,RF,8,0.933333333,3,3,0.285714286,0.366666667,0.413793103,0.329268293
71372,11.36433333,Josh Donaldson,TOR,UT,3,1.333333333,0,4,0,0.076923077,0.12195122,0.206896552
71367,8.519866667,Kendrys Morales,TOR,DH,8,0.307692308,1,2,0,0.125,0.162162162,0.271604938
71371,7.707466667,Kevin Pillar,TOR,CF,14,1.466666667,3,3,0.25,0.263157895,0.391304348,0.3
71369,6.279566667,Justin Smoak,TOR,1B,0,1.111111111,0,1,0.333333333,0.315789474,0.260869565,0.261780105
71373,5.634133333,Anthony Alford,TOR,LF,0,0.333333333,0,0,0,0,0,0
71366,4.780666667,Yangervis Solarte,TOR,3B,0,1.8,0,5,0.363636364,0.25,0.258064516,0.261627907
71364,4.742033333,Lourdes Gurriel,TOR,MI,0,0.866666667,0,2,0,0.166666667,0,0.166666667
71365,3.726,Luke Maile,TOR,C,35,0.555555556,0,0,0,0.5,0,0.371428571
71337,16.3053,Bryce Harper,WSN,RF,6,0.692307692,1,4,0.285714286,0.333333333,0.227272727,0.238636364
71335,11.5407,Trea Turner,WSN,SS,15,1,2,2,0,0.28125,0.066666667,0.24691358
71342,7.282366667,Anthony Rendon,WSN,3B,17,1,0,1,0.5,0.5,0.4,0.321243523
71343,6.751333333,Michael Taylor,WSN,CF,6,0.428571429,1,1,0.25,0.421052632,0.269230769,0.297297297
71341,6.372733333,Matt Adams,WSN,LF,0,1.153846154,0,7,0,0.090909091,0.28,0.143459916
71336,4.143833333,Wilmer Difo,WSN,IF,0,1.076923077,0,2,0,0.272727273,0.333333333,0.328244275
71338,3.359666667,Pedro Severino,WSN,C,3,0.833333333,0,0,0,0.555555556,0,0.375
71340,2.8284,Andrew Stevenson,WSN,OF,4,0.5,0,0,0,0,0,0.173913043
