,RFPred,Name,HTeam,Pos
590412,7.591888889,Jordy Mercer,PIT,SS
59209,7.577166667,Mitch Moreland,BOS,1B
59201,7.510888889,Wilmer Flores,NYM,IF
59042,7.509388889,Jordy Mercer,PIT,SS
590423,7.401833333,Jordy Mercer,PIT,SS
59155,7.401,Jose Iglesias,DET,SS
59205,7.394611111,Blake Swihart,BOS,UT
59116,7.378166667,Paul DeJong,STL,SS
59160,7.334166667,Victor Martinez,DET,DH
59090,7.312444444,Hunter Pence,SFG,LF
59102,7.264388889,Tommy La Stella,CHC,IF
59046,7.262888889,Josh Harrison,PIT,2B
59086,7.257611111,Carlos Tocci,TEX,CF
58997,7.242888889,Joe Mauer,MIN,1B
59005,7.226388889,Matt Duffy,TBR,3B
59056,7.224888889,Jordy Mercer,PIT,SS
591553,7.183888889,Jose Iglesias,DET,SS
59134,7.171666667,Andrelton Simmons,LAA,SS
591601,7.157722222,Victor Martinez,DET,DH
59163,7.1465,Dixon Machado,DET,2B
59178,7.1445,Lonnie Chisenhall,CLE,RF
59191,7.134166667,Joc Pederson,LAD,OF
591631,7.116333333,Dixon Machado,DET,2B
590563,7.101333333,Jordy Mercer,PIT,SS
59204,7.084055556,Jay Bruce,NYM,RF
59130,7.082166667,Martin Maldonado,LAA,C
591633,7.0525,Dixon Machado,DET,2B
590411,7.030888889,Jordy Mercer,PIT,SS
59120,7.030388889,Justin Smoak,TOR,1B
590611,7.022555556,Colin Moran,PIT,3B
590552,7.020944444,Jordy Mercer,PIT,SS
59132,7.013888889,Kole Calhoun,LAA,RF
59092,6.994333333,Andrew McCutchen,SFG,RF
59061,6.988777778,Colin Moran,PIT,3B
591541,6.988055556,John Hicks,DET,UT
59118,6.9195,Yangervis Solarte,TOR,3B
590413,6.907611111,Jordy Mercer,PIT,SS
590551,6.891944444,Jordy Mercer,PIT,SS
59094,6.835388889,Brandon Crawford,SFG,SS
59078,6.822166667,Adrian Beltre,TEX,3B
