RFPred,Name,HTeam,Pos
1.697166667,Max Kepler,MIN,RF
1.6745,Matt Adams,WSN,UT
1.663111111,Nick Williams,PHI,UT
1.645555556,Rosell Herrera,CIN,
1.628944444,Yasiel Puig,LAD,RF
1.610722222,Jonathan Villar,MIL,2B
1.605611111,Evan Gattis,HOU,DH
1.563111111,Carlos Asuaje,SDP,2B
1.454944444,Billy McKinney,NYY,LF
1.441055556,Ronald Torreyes,NYY,IF
1.435555556,Jesus Aguilar,MIL,1B
1.400833333,Austin Barnes,LAD,UT
1.365944444,Brian McCann,HOU,C
1.357833333,Kelby Tomlinson,SFG,MI
1.336222222,Drew Butera,KCR,C
1.300388889,Garrett Cooper,MIA,UT
1.299388889,Breyvic Valera,LAD,2B
1.297222222,Sean Rodriguez,PIT,UT
1.292777778,Trevor Story,COL,SS
1.2895,Chase Headley,SDP,UT
1.281555556,Christian Vazquez,BOS,C
1.278388889,Mike Gerber,DET,
1.265111111,Chad Wallach,MIA,C
1.264555556,Derek Dietrich,MIA,LF
1.216444444,Kyle Farmer,LAD,3B
1.194666667,Tony Wolters,COL,C
1.192722222,Paulo Orlando,KCR,UT
1.178555556,Cam Gallagher,KCR,UT
1.172277778,Moises Sierra,WSN,LF
1.163944444,Miguel MonteroDFA,WSN,C
1.161611111,Johnny Field,TBR,OF
1.160555556,Matt Reynolds,WSN,3B
1.126055556,David Bote,CHC,3B
1.116777778,Matt Szczur,SDP,OF
1.074111111,Tyler Wade,NYY,2B
1.047,Gift Ngoepe,TOR,IF
0.960333333,Philip Gosselin,CIN,UT
0.929277778,Rob Refsnyder,TBR,UT
0.918277778,Ryan Goins,KCR,2B
0.9,Jesmuel Valentin,PHI,
0.862222222,David Dahl,COL,OF
0.848055556,Braxton Lee,MIA,OF
0.843777778,Yasmani Grandal,LAD,C
0.821611111,Eric Sogard,MIL,MI
0.776055556,Chase Utley,LAD,2B
0.663277778,Albert Almora,CHC,CF
0.653111111,Pat Valaika,COL,IF
0.546166667,Ryan McMahon,COL,CI
0.5265,Noel Cuevas,COL,RF
0.526111111,Blake Swihart,BOS,UT
0.513055556,Yadiel Rivera,MIA,UT
0.488944444,Tomas TelisDFA,MIA,UT
0.451555556,Rafael Bautista,WSN,OF
