,RFPred,Name,HTeam,Pos,Actual,H,SB,HR,BHSplit,
72751,2.508,Tony Cruz,CIN,C,5,0.5,0,0,0,0.5
72606,11.69553333,Jose Ramirez,CLE,3B,15,1.2,3,3,3,10.2
72611,9.882833333,Francisco Lindor,CLE,SS,10,2.2,0,3,5,10.2
72610,8.8791,Greg Allen,CLE,CF,2,1.25,0,0,0,1.25
72612,8.360433333,Yan Gomes,CLE,C,5,1.333333333,0,1,1,3.333333333
72608,6.3192,Brandon Guyer,CLE,RF,15,0.25,0,0,2,2.25
72613,6.1702,Jason Kipnis,CLE,2B,5,0.25,0,0,1,1.25
72614,6.117366667,Michael Brantley,CLE,LF,9,1.6,0,2,2,5.6
72605,5.672466667,Rajai Davis,CLE,UT,21,0,0,0,0,0
72609,5.671233333,Yonder Alonso,CLE,1B,11,1,0,1,2,4
72729,14.73663333,Trevor Story,COL,SS,3,0.833333333,0,3,3,6.833333333
72727,10.55873333,Carlos Gonzalez,COL,RF,0,1.333333333,0,1,0,2.333333333
72721,8.932966667,Nolan Arenado,COL,3B,0,1.5,0,0,6,7.5
72726,6.5862,Gerardo Parra,COL,LF,0,1,1,1,0,3
72728,6.2544,Pat Valaika,COL,IF,2,1,0,0,0,1
72723,5.292933333,David Dahl,COL,OF,0,1.25,0,1,2,4.25
72720,4.338733333,Tony Wolters,COL,C,0,0.333333333,0,1,1,2.333333333
72594,17.65326667,Niko Goodrum,DET,UT,7,2.333333333,0,3,2,7.333333333
72586,10.33633333,Nicholas Castellanos,DET,RF,15,1,0,0,2,3
72588,9.586766667,James McCann,DET,C,14,0.714285714,0,0,2,2.714285714
72589,7.432333333,Jose Iglesias,DET,SS,0,1.4,1,2,2,6.4
72592,7.1453,Victor Martinez,DET,DH,2,0,0,0,3,3
72584,6.8084,JaCoby Jones,DET,LF,23,1.285714286,0,0,2,3.285714286
72590,6.7164,John Hicks,DET,UT,12,1.714285714,0,2,2,5.714285714
