"Shaw, B",543766,https://baseballsavant.mlb.com/player?player_id=605195&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Smith, C",605476,https://baseballsavant.mlb.com/player?player_id=593974&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Stammen, C",489334,https://baseballsavant.mlb.com/player?player_id=600917&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Steckenrider, D",608716,https://baseballsavant.mlb.com/player?player_id=501985&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Strickland, H",519326,https://baseballsavant.mlb.com/player?player_id=543766&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Strop, P",467008,https://baseballsavant.mlb.com/player?player_id=453192&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Stumpf, D",621385,https://baseballsavant.mlb.com/player?player_id=518927&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Vizcaino, A",527055,https://baseballsavant.mlb.com/player?player_id=593334&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Warren, A",476589,https://baseballsavant.mlb.com/player?player_id=519008&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Wilson, J",458677,https://baseballsavant.mlb.com/player?player_id=605232&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Winkler, D",595465,https://baseballsavant.mlb.com/player?player_id=607457&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Yates, K",489446,https://baseballsavant.mlb.com/player?player_id=543964&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Albers, M",458006,https://baseballsavant.mlb.com/player?player_id=407845&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Alexander, S",518397,https://baseballsavant.mlb.com/player?player_id=595411&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Allen, C",592102,https://baseballsavant.mlb.com/player?player_id=572020&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Altavilla, D",656186,https://baseballsavant.mlb.com/player?player_id=543054&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Arano, V",644364,https://baseballsavant.mlb.com/player?player_id=460283&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Avilan, L",501593,https://baseballsavant.mlb.com/player?player_id=453344&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Axford, J",446099,https://baseballsavant.mlb.com/player?player_id=571901&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Baez, P",520980,https://baseballsavant.mlb.com/player?player_id=605218&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Bard, L",572703,https://baseballsavant.mlb.com/player?player_id=476454&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Barnes, M",598264,https://baseballsavant.mlb.com/player?player_id=543144&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Blevins, J",460283,https://baseballsavant.mlb.com/player?player_id=595465&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
